task_id,occ,occ_title,function,task,passes,why,not_called,physical,physical_both,physical_onet_codes,physical_sonnet,physical_gpt6,accountable,agreed_all_three,contested,blocked_by_missing_check,time_share,task_payroll_usd,horizon_sonnet,check_sonnet,stakes_sonnet,spec_entropy_sum_sonnet,passes_by_sonnet,horizon_gemini,check_gemini,stakes_gemini,spec_entropy_sum_gemini,passes_by_gemini,horizon_gpt6,check_gpt6,stakes_gpt6,spec_entropy_sum_gpt6,passes_by_gpt6
933,11-1021,General and Operations Managers,Executive,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",False,"nobody can tell quickly whether it worked, and no existing check settles it, and a failure is too expensive",False,False,False,False,False,False,False,False,False,False,0.11288071924189456,53859154379.01405,4,0,3,11,False,4,0,3,11,False,4,0,4,9,False
20701,11-1021,General and Operations Managers,Executive,Prepare staff work schedules and assign specific duties.,False,an accountable sign-off — stays with a person,False,False,False,False,False,False,True,False,False,False,0.10753591906116033,51308972027.30285,2,1,1,6,False,2,1,1,5,False,2,1,2,6,False
20700,11-1021,General and Operations Managers,Executive,Direct administrative activities directly related to making products or providing services.,False,"nobody can tell quickly whether it worked, and no existing check settles it, and a failure is too expensive",False,False,False,False,False,False,False,False,False,False,0.10609343892485802,50620716664.72598,4,0,3,10,False,4,0,3,9,False,5,0,3,9,False
944,11-1021,General and Operations Managers,Executive,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",False,physical work — out of reach whatever its structure,False,True,True,False,True,True,False,False,False,False,0.08136668762345373,38822759275.918434,1,1,0,2,False,1,1,1,6,False,2,1,1,5,False
20699,11-1021,General and Operations Managers,Executive,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.08079870917674642,38551757823.67212,3,1,2,5,False,3,1,3,6,False,3,1,3,5,False
20706,11-1021,General and Operations Managers,Executive,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.07350317497281877,35070815235.7294,3,0,2,8,False,3,0,3,9,False,3,0,3,7,False
20704,11-1021,General and Operations Managers,Executive,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",False,"nobody can tell quickly whether it worked, and no existing check settles it, and a failure is too expensive",False,False,False,False,False,False,False,False,False,False,0.05727372946551505,27327205725.317524,5,0,3,11,False,4,0,3,11,False,5,0,3,10,False
20705,11-1021,General and Operations Managers,Executive,"Perform personnel functions, such as selection, training, or evaluation.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.05523066176029794,26352390011.16298,3,1,2,6,False,3,1,2,9,False,3,0,3,7,False
20703,11-1021,General and Operations Managers,Executive,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",False,"nobody can tell quickly whether it worked, and no existing check settles it, and a failure is too expensive",False,False,False,False,False,False,False,False,False,False,0.05447350380356263,25991124707.796886,4,0,4,8,False,4,0,3,9,False,4,0,4,9,False
20707,11-1021,General and Operations Managers,Executive,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.05353784573143758,25544691048.523647,3,0,2,7,False,3,0,3,8,False,4,0,3,8,False
20708,11-1021,General and Operations Managers,Executive,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.05309728157179086,25334483200.38419,2,1,2,6,False,2,1,3,8,False,3,0,3,6,False
21670,15-1252,Software Developers,IT & software,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",False,"nobody can tell quickly whether it worked, and no existing check settles it, and a failure is too expensive",False,False,False,False,False,False,False,False,False,False,0.10015777547844654,23930493634.24457,2,2,2,4,False,1,1,3,7,False,2,1,3,6,False
21664,15-1252,Software Developers,IT & software,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",False,no existing check settles it,False,False,False,False,False,False,False,False,False,False,0.08864359714150732,21179434417.129917,5,0,2,9,False,3,1,3,9,False,1,1,2,7,False
21662,15-1252,Software Developers,IT & software,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.08702215200284225,20792025827.195213,4,1,2,7,False,3,1,3,8,False,3,0,3,7,False
18565,43-4051,Customer Service Representatives,Customer support,"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",False,no existing check settles it,False,False,False,False,False,False,False,False,False,True,0.15612222025530764,19309330981.489197,1,1,1,3,False,1,1,1,6,False,1,1,2,6,False
21669,15-1252,Software Developers,IT & software,"Develop or direct software system testing or validation procedures, programming, or documentation.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,True,False,0.07716881847260819,18437788882.584793,1,2,2,3,True,2,1,2,6,False,3,1,3,7,False
7276,13-1111,Management Analysts,Strategy,Gather and organize information on problems or procedures.,False,no existing check settles it,False,False,False,False,False,False,False,False,False,False,0.18001402275085757,18260708946.583523,2,1,1,5,False,2,1,1,8,False,1,1,2,6,False
20702,11-1021,General and Operations Managers,Executive,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.038201229799614995,18227080293.8155,2,1,1,5,False,2,1,2,7,False,3,1,3,7,False
947,11-1021,General and Operations Managers,Executive,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",False,"nobody can tell quickly whether it worked, and no existing check settles it, and a failure is too expensive",False,False,False,False,False,False,False,False,False,False,0.0380526592520167,18156192332.49658,4,0,3,9,False,4,0,3,10,False,5,0,3,10,False
21676,15-1252,Software Developers,IT & software,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",True,"checkable fast, an existing check settles it, survivable if wrong",False,False,False,False,False,False,False,False,True,False,0.0751441102779684,17954029470.68115,1,2,1,2,True,1,2,1,2,True,1,1,2,4,False
21667,15-1252,Software Developers,IT & software,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",False,"nobody can tell quickly whether it worked, and no existing check settles it, and a failure is too expensive",False,False,False,False,False,False,False,False,False,False,0.06898526879260251,16482509997.970955,4,1,3,6,False,3,1,3,7,False,4,0,3,7,False
2578,43-4051,Customer Service Representatives,Customer support,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",False,no existing check settles it,False,False,False,False,False,False,False,False,True,True,0.1270405742793879,15712487901.00247,0,2,0,2,True,1,1,1,3,False,1,1,1,2,False
14,11-2022,Sales Managers,Sales,Oversee regional and local sales managers and their staffs.,False,"nobody can tell quickly whether it worked, and no existing check settles it, and a failure is too expensive",False,False,False,False,False,False,False,False,False,False,0.1580447591927386,15331580349.10477,5,0,3,8,False,4,0,3,11,False,5,0,3,9,False
21668,15-1252,Software Developers,IT & software,Determine system performance standards.,False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.0636988532429901,15219437480.09944,3,1,2,5,False,4,1,2,6,False,3,1,3,7,False
21671,15-1252,Software Developers,IT & software,Monitor functioning of equipment to ensure system operates in conformance with specifications.,False,physical work — out of reach whatever its structure,False,True,False,False,True,False,False,False,False,False,0.06319488681043205,15099025805.133688,0,2,2,1,False,1,2,3,3,False,0,2,3,3,False
1,11-2022,Sales Managers,Sales,Resolve customer complaints regarding sales and service.,False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.15101319679046024,14649463684.807129,2,1,1,5,False,2,1,2,8,False,2,1,2,8,False
830,43-9061,"Office Clerks, General",Admin,"Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.",False,physical work — out of reach whatever its structure,False,True,True,True,True,True,False,False,False,False,0.1254098744328197,14301777006.968788,0,2,0,0,False,0,1,0,0,False,0,2,1,2,False
7277,13-1111,Management Analysts,Strategy,Analyze data gathered and develop solutions or alternative methods of proceeding.,False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.13266539280172707,13457641178.261896,3,0,2,8,False,4,1,2,10,False,4,0,3,7,False
827,43-9061,"Office Clerks, General",Admin,"Answer telephones, direct calls, and take messages.",False,no existing check settles it,False,False,False,False,False,False,False,False,False,True,0.11743065950861427,13391825114.801044,1,1,0,2,False,0,1,1,4,False,1,1,1,6,False
21661,15-1252,Software Developers,IT & software,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.0551571667629808,13178589698.096106,4,1,2,7,False,3,1,3,8,False,3,1,3,7,False
15198,11-3021,Computer and Information Systems Managers,IT & software,Provide users with technical support for computer problems.,False,no existing check settles it,False,False,False,False,False,False,False,False,False,False,0.10840030815940702,13151411475.992554,2,1,1,4,False,1,1,1,6,False,2,1,2,4,False
7278,13-1111,Management Analysts,Strategy,Confer with personnel concerned to ensure successful functioning of newly implemented systems or procedures.,False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.12958164733800115,13144824556.990217,3,1,2,8,False,4,0,3,10,False,3,0,3,8,False
2580,43-4051,Customer Service Representatives,Customer support,Check to ensure that appropriate changes were made to resolve customers' problems.,True,"checkable fast, an existing check settles it, survivable if wrong",False,False,False,False,False,False,False,False,True,False,0.10466960679400891,12945627329.554567,1,2,1,2,True,1,2,1,1,True,2,1,2,6,False
2581,43-4051,Customer Service Representatives,Customer support,Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,False,no existing check settles it,False,False,False,False,False,False,False,False,False,True,0.10434858113315373,12905922598.678547,1,1,2,4,False,1,1,1,5,False,1,1,2,4,False
945,11-1021,General and Operations Managers,Executive,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.026960556761422276,12863780444.611937,3,0,2,8,False,3,0,3,10,False,3,0,3,8,False
21665,15-1252,Software Developers,IT & software,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.053334321905026266,12743061082.757765,5,0,1,9,False,2,1,2,9,False,2,1,2,8,False
694,41-2031,Retail Salespersons,Retail front line,Greet customers and ascertain what each customer wants or needs.,False,no existing check settles it,False,False,False,False,False,False,False,False,False,True,0.08931504171985487,12568937503.86613,1,0,0,3,False,0,1,0,5,False,1,1,0,4,False
21673,15-1252,Software Developers,IT & software,"Prepare reports or correspondence concerning project specifications, activities, or status.",False,no existing check settles it,False,False,False,False,False,False,False,False,False,True,0.05092283965881919,12166890533.179506,1,1,1,2,False,1,1,1,5,False,1,1,2,5,False
21678,15-1252,Software Developers,IT & software,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.04909257774542697,11729589775.867277,5,0,2,8,False,5,0,3,11,False,4,0,3,8,False
3775,23-1011,Lawyers,Legal & compliance,"Analyze the probable outcomes of cases, using knowledge of legal precedents.",False,"nobody can tell quickly whether it worked, and no existing check settles it, and a failure is too expensive",False,False,False,False,False,False,False,False,False,False,0.08673921214163037,11721304357.593433,4,1,3,7,False,4,0,4,5,False,4,0,4,8,False
13,11-2022,Sales Managers,Sales,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.12054634088893348,11693939872.282534,3,1,2,6,False,3,0,3,8,False,4,0,3,7,False
3774,23-1011,Lawyers,Legal & compliance,"Interpret laws, rulings and regulations for individuals and businesses.",False,no existing check settles it,False,False,False,False,False,False,False,False,False,False,0.08411787412723583,11367075861.251104,3,1,2,6,False,1,1,4,5,False,1,1,4,5,False
19501,11-1021,General and Operations Managers,Executive,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",False,"nobody can tell quickly whether it worked, and no existing check settles it",False,False,False,False,False,False,False,False,False,False,0.023805873302978595,11358575795.43585,4,1,2,7,False,4,0,2,9,False,4,0,4,7,False
2584,43-4051,Customer Service Representatives,Customer support,"Complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.",True,"checkable fast, an existing check settles it, survivable if wrong",False,False,False,False,False,False,False,True,False,False,0.09165717416376183,11336238428.212519,0,2,0,1,True,0,2,1,1,True,0,2,2,3,True
